model,params [K],jevois_latency [ms],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,model_info
model_0338,5.226,3,40.38,291.73,83.37,0.73,"[46, 60, 55, 163, 249, 382]","{""0"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0339,0.839,6,9.92,61.44,90.12,0.51,"[208, 212, 247, 328, 201, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0340,56.79,8,106.59,198.14,83.12,0.81,"[104, 249, 52, 258, 374, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Dense"", 28, ""relu""], ""5"": [2, ""softmax""]}"
model_0341,22.118,4,64.23,54.7,82.71,0.51,"[225, 321, 160, 134, 87, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0342,15.814,14,97.19,307.52,88.82,0.62,"[315, 318, 50, 255, 7, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0343,11.674,11,169.85,182.48,83.68,0.49,"[41, 115, 278, 49, 153, 382]","{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0344,12.349,1,7.5,61.44,82.04,0.77,"[296, 237, 242, 129, 177, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0345,8.118,4,66.9,110.59,84.54,0.49,"[319, 196, 269, 137, 165, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0346,4.17,2,60.35,78.74,82.62,0.8,"[58, 322, 277, 271, 148, 382]","{""0"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0347,4.673,5,27.65,84.72,95.69,0.72,"[275, 98, 250, 132, 331, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0348,1.994,20,14.8,172.03,85.63,0.51,"[37, 5, 1, 342, 357, 382]","{""0"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0349,6.128,3,14.32,54.7,83.23,0.49,"[264, 149, 153, 265, 303, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0350,0.576,8,14.35,96.78,88.51,0.51,"[350, 7, 334, 188, 245, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0351,0.201,2,14.23,61.44,82.94,0.51,"[235, 7, 238, 321, 336, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0352,10.122,6,40.14,819.2,82.53,0.79,"[150, 348, 148, 249, 163, 382]","{""0"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0353,4.442,3,74.41,291.73,82.6,0.51,"[47, 182, 41, 213, 101, 382]","{""0"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0354,12.946,5,34.72,146.56,82.13,0.51,"[116, 261, 44, 149, 363, 382]","{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Dense"", 8, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0355,40.905,9,297.57,115.62,84.22,0.51,"[347, 109, 266, 344, 160, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0356,17.01,5,19.32,72.59,81.85,0.85,"[44, 69, 138, 138, 230, 382]","{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0357,459.515,11,55.91,81.92,81.87,0.51,"[186, 306, 110, 37, 373, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Dense"", 28, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0358,6.422,1,6.94,54.7,81.03,0.76,"[334, 299, 98, 106, 44, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0359,1.783,2,34.29,54.7,95.91,0.68,"[237, 220, 126, 305, 275, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0360,3.463,4,71.86,97.54,87.32,0.51,"[266, 260, 19, 259, 165, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0361,5.574,8,34.43,82.96,85.67,0.51,"[327, 261, 145, 311, 293, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0362,0.122,2,27.5,107.18,84.66,0.51,"[209, 344, 286, 263, 344, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0363,27.078,4,75.88,64,83.46,0.74,"[190, 352, 29, 124, 229, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0364,6.81,6,176.08,147.92,83.16,0.49,"[165, 287, 241, 18, 159, 382]","{""0"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0365,16.202,24,1884.46,1131.64,84.55,0.8,"[176, 86, 177, 273, 116, 382]","{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0366,2.514,5,134.06,583.46,82.83,0.49,"[117, 228, 192, 218, 59, 382]","{""0"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0367,9.898,6,125.18,437.59,83.5,0.51,"[83, 245, 179, 252, 318, 382]","{""0"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0368,17.154,5,251.03,180.22,82.75,0.51,"[126, 186, 295, 184, 232, 382]","{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0369,82.558,15,490.71,381.02,89.32,0.49,"[205, 318, 79, 160, 148, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0370,17.344,12,63.03,122.88,84.42,0.49,"[254, 79, 307, 173, 167, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0371,102.61,160,29.45,481.97,105.58,0.88,"[110, 148, 136, 181, 82, 382]","{""0"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0372,1.735,7,56.08,238.14,90.84,0.8,"[206, 342, 65, 6, 319, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0373,137.737,70,238.48,729.32,92.54,0.51,"[231, 171, 227, 146, 350, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0374,14.244,7,31.34,108.7,89.9,0.8,"[208, 342, 338, 325, 48, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0375,5.048,4,47.49,110.59,84.66,0.5,"[211, 40, 212, 283, 89, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0376,8.558,3,11.63,40.96,82.87,0.51,"[6, 269, 36, 38, 362, 382]","{""0"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Dense"", 4, ""relu""], ""5"": [2, ""softmax""]}"
model_0377,6.018,21,15.64,99.07,83.49,0.79,"[32, 135, 36, 216, 231, 382]","{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0378,23.85,8,177.22,183.2,82.51,0.83,"[54, 179, 138, 86, 193, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0379,2.222,3,71.05,129.6,83.93,0.49,"[223, 196, 342, 61, 9, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0380,2.842,4,61.36,109.92,82.98,0.8,"[17, 84, 318, 36, 118, 382]","{""0"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0381,26.287,6,52.17,64,85.46,0.51,"[199, 207, 129, 193, 255, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0382,19.722,10,242.03,196.61,82.62,0.83,"[89, 154, 162, 63, 64, 382]","{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0383,1.735,1,31.05,110.59,95.63,0.51,"[295, 271, 10, 348, 147, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0384,18.122,15,372.8,1474.56,86.81,0.82,"[175, 118, 90, 168, 102, 382]","{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0385,7.248,2,21.94,98.3,84.82,0.82,"[320, 9, 2, 266, 184, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
