model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_145,12.390999999999998,,,,0.49,"[190, 229, 97, 175, 309, 150, 83, 382]",8,"{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""6"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_146,6.624,,,,0.51,"[357, 55, 74, 329, 267, 382]",6,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_147,8.585,,,,0.51,"[341, 61, 177, 204, 255, 189, 152, 382]",8,"{""0"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""7"": [2, ""softmax""]}"
model_148,3.44,,,,0.52,"[246, 141, 82, 281, 145, 313, 382]",7,"{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_149,12.175999999999998,,,,0.81,"[281, 14, 344, 144, 144, 307, 382]",7,"{""0"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_150,142.937,,,,0.51,"[193, 172, 249, 268, 219, 382]",6,"{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_151,2.826,,,,0.72,"[86, 10, 109, 111, 249, 286, 5, 382]",8,"{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""6"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_152,7.952000000000001,,,,0.83,"[207, 21, 8, 382]",4,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [2, ""softmax""]}"
model_153,9.015,,,,0.76,"[300, 340, 12, 134, 193, 25, 134, 14, 382]",9,"{""0"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""7"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""8"": [2, ""softmax""]}"
model_154,37.49,,,,0.49,"[8, 349, 248, 61, 99, 81, 90, 170, 173, 336, 163, 382]",12,"{""0"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""7"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""8"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""9"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""10"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""11"": [2, ""softmax""]}"
model_155,19.97,,,,0.51,"[132, 338, 209, 119, 135, 99, 32, 357, 382]",9,"{""0"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""7"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""8"": [2, ""softmax""]}"
model_156,840.452,,,,0.51,"[183, 122, 85, 126, 283, 85, 378, 382]",8,"{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""6"": [""Dense"", 36, ""relu""], ""7"": [2, ""softmax""]}"
model_157,5.25,,,,0.77,"[85, 214, 37, 35, 382]",5,"{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_158,7.434,,,,0.79,"[172, 77, 320, 358, 254, 382]",6,"{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_159,17.248,,,,0.76,"[244, 55, 180, 159, 347, 37, 107, 382]",8,"{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_160,474.842,,,,0.51,"[155, 110, 363, 382]",4,"{""0"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Dense"", 8, ""sigmoid""], ""3"": [2, ""softmax""]}"
model_161,4.672,,,,0.81,"[355, 168, 346, 382]",4,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_162,1.298,,,,0.51,"[9, 39, 285, 345, 268, 382]",6,"{""0"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_163,17.057000000000002,,,,0.51,"[312, 147, 289, 103, 89, 382]",6,"{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_164,63.506,,,,0.86,"[171, 61, 252, 382]",4,"{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [2, ""softmax""]}"
model_165,2.112,,,,0.51,"[357, 333, 181, 249, 344, 341, 160, 82, 7, 200, 83, 382]",12,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""7"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""8"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""9"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""10"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""11"": [2, ""softmax""]}"
model_166,624.81,,,,0.51,"[89, 159, 280, 215, 268, 376, 382]",7,"{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [""Dense"", 32, ""relu""], ""6"": [2, ""softmax""]}"
model_167,9.294,,,,0.49,"[356, 300, 164, 227, 212, 47, 175, 150, 223, 382]",10,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""7"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""8"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""9"": [2, ""softmax""]}"
model_168,32.96,,,,0.83,"[256, 150, 138, 179, 382]",5,"{""0"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_169,6.2010000000000005,,,,0.76,"[239, 122, 302, 257, 62, 9, 382]",7,"{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_170,15.753,,,,0.83,"[266, 19, 48, 382]",4,"{""0"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [2, ""softmax""]}"
model_171,24.704,,,,0.74,"[285, 11, 78, 171, 180, 23, 382]",7,"{""0"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_172,24.072,,,,0.51,"[217, 124, 297, 3, 101, 135, 256, 18, 95, 124, 142, 280, 382]",13,"{""0"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""7"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""8"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""9"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""10"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""11"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""12"": [2, ""softmax""]}"
model_173,2040.83,,,,0.51,"[154, 147, 148, 122, 378, 382]",6,"{""0"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Dense"", 36, ""relu""], ""5"": [2, ""softmax""]}"
model_174,8.437000000000001,,,,0.51,"[319, 246, 235, 113, 290, 38, 63, 233, 87, 121, 382]",11,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""6"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""8"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""9"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""10"": [2, ""softmax""]}"
model_175,23.48,,,,0.49,"[225, 156, 166, 295, 133, 159, 382]",7,"{""0"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_176,2.9139999999999997,,,,0.49,"[92, 187, 80, 115, 218, 293, 382]",7,"{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_177,5.28,,,,0.49,"[215, 146, 234, 153, 225, 33, 19, 382]",8,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_178,13.074000000000002,,,,0.51,"[43, 269, 102, 148, 247, 111, 219, 63, 382]",9,"{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""7"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""8"": [2, ""softmax""]}"
model_179,6.274,,,,0.51,"[121, 338, 43, 8, 57, 123, 146, 231, 8, 382]",10,"{""0"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""7"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""8"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""9"": [2, ""softmax""]}"
model_180,9.442,,,,0.51,"[171, 204, 268, 286, 232, 27, 209, 147, 221, 94, 382]",11,"{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""8"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""9"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""10"": [2, ""softmax""]}"
model_181,2.642,,,,0.81,"[144, 1, 10, 284, 219, 116, 382]",7,"{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""6"": [2, ""softmax""]}"
model_182,3.844,,,,0.49,"[280, 250, 350, 9, 165, 231, 232, 382]",8,"{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""7"": [2, ""softmax""]}"
model_183,6.068,,,,0.51,"[346, 274, 296, 351, 380, 382]",6,"{""0"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Dense"", 40, ""relu""], ""5"": [2, ""softmax""]}"
model_184,197.24099999999999,,,,0.9,"[194, 56, 74, 382]",4,"{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_185,1.25,,,,0.49,"[18, 203, 311, 231, 111, 274, 382]",7,"{""0"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""6"": [2, ""softmax""]}"
