model,params [K],accuracy,token_sequence,model_info
model_0729,1.074,0.49,"[50, 273, 258, 239, 283, 382]","{""0"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0730,4.882,0.71,"[54, 164, 265, 81, 345, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0731,21.186,0.84,"[176, 218, 320, 129, 133, 382]","{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0732,34.968,0.79,"[244, 138, 79, 40, 267, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0733,0.953,0.51,"[306, 67, 9, 215, 253, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0734,7.247,0.51,"[327, 311, 127, 64, 35, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0735,25.13,0.76,"[72, 97, 26, 76, 258, 382]","{""0"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0736,17.47,0.51,"[220, 327, 36, 125, 52, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0737,6.91,0.51,"[291, 355, 1, 95, 284, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0738,98.384,0.51,"[350, 53, 88, 127, 172, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0739,0.38,0.49,"[334, 223, 335, 32, 9, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0740,11.234,0.82,"[101, 80, 273, 59, 376, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""Dense"", 32, ""relu""], ""5"": [2, ""softmax""]}"
model_0741,2.214,0.79,"[285, 228, 160, 9, 51, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0742,4.392,0.75,"[241, 64, 129, 24, 186, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0743,17.73,0.76,"[133, 32, 231, 305, 230, 382]","{""0"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0744,14.362,0.8,"[22, 176, 293, 50, 147, 382]","{""0"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0745,10.162,0.8,"[56, 130, 99, 238, 224, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0746,2.378,0.78,"[106, 358, 296, 186, 75, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0747,53.586,0.75,"[135, 167, 164, 336, 367, 382]","{""0"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Dense"", 16, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0748,122.418,0.51,"[76, 337, 74, 132, 339, 382]","{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0749,256.978,0.85,"[54, 256, 122, 279, 316, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0750,26.902,0.86,"[221, 216, 61, 39, 112, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0751,16.726,0.76,"[360, 244, 19, 216, 376, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""Dense"", 32, ""relu""], ""5"": [2, ""softmax""]}"
model_0752,3.368,0.77,"[332, 164, 149, 260, 288, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0753,1.951,0.51,"[197, 258, 113, 273, 154, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0754,11.97,0.54,"[116, 298, 258, 27, 169, 382]","{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0755,14.851,0.7,"[256, 328, 191, 232, 132, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0756,7.989,0.75,"[341, 286, 219, 110, 222, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0757,18.341,0.82,"[268, 178, 179, 11, 366, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Dense"", 12, ""relu""], ""5"": [2, ""softmax""]}"
model_0758,6.082,0.85,"[179, 19, 86, 238, 90, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0759,2.73,0.51,"[103, 197, 271, 33, 189, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0760,15.282,0.73,"[162, 315, 79, 143, 127, 382]","{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0761,4.854,0.51,"[257, 290, 121, 187, 8, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0762,19.514,0.84,"[172, 141, 282, 166, 224, 382]","{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0763,37.752,0.51,"[216, 157, 340, 331, 146, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0764,27.162,0.51,"[64, 169, 34, 98, 68, 382]","{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0765,17.248,0.79,"[330, 162, 180, 337, 257, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0766,0.75,0.51,"[289, 259, 19, 200, 189, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0767,6.92,0.49,"[352, 101, 280, 274, 293, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0768,9.12,0.79,"[242, 83, 158, 96, 262, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0769,4.955,0.49,"[323, 245, 196, 245, 367, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Dense"", 16, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0770,15.722,0.79,"[170, 126, 19, 212, 37, 382]","{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0771,12.726,0.51,"[299, 243, 155, 314, 110, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0772,21.018,0.71,"[179, 162, 341, 151, 142, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0773,1.168,0.51,"[221, 25, 10, 232, 312, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0774,11.602,0.82,"[130, 198, 67, 133, 308, 382]","{""0"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0775,41.081,0.49,"[194, 81, 256, 319, 169, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0776,6.202,0.51,"[30, 355, 221, 251, 171, 382]","{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0777,23.912,0.51,"[279, 206, 268, 185, 232, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0778,1.564,0.51,"[284, 246, 307, 310, 134, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0779,2.026,0.51,"[55, 217, 58, 23, 359, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
